prot,lig,score
sarsA_apo,Test_899.pdb_idx_0082_combo_20250812_095050,0.8218475
mersA_apo,Test_918.pdb_idx_0179_combo_20250812_095112,0.71420324
sarsA_apo,Test_885.pdb_idx_0075_combo_20250812_095052,0.93552464
mersA_apo,Test_880.pdb_idx_0087_combo_20250812_095058,0.44961795
sarsA_apo,Test_935.pdb_idx_0172_combo_20250812_095055,0.73282206
sarsA_apo,Test_891.pdb_idx_0052_combo_20250812_095049,0.9235437
sarsA_apo,Test_878.pdb_idx_0141_combo_20250812_095053,0.7917847
mersA_apo,Test_770.pdb_idx_0188_combo_20250812_095103,0.35711595
sarsA_apo,Test_879.pdb_idx_0126_combo_20250812_095101,0.79310346
sarsA_apo,Test_784.pdb_idx_0129_combo_20250812_095052,0.9119658
mersA_apo,Test_937.pdb_idx_0168_combo_20250812_095102,0.5853321
sarsA_apo,Test_890.pdb_idx_0191_combo_20250812_095054,0.8267442
sarsA_apo,Test_934.pdb_idx_0109_combo_20250812_095109,0.8035714
sarsA_apo,Test_960.pdb_idx_0058_combo_20250812_095050,0.14996316
sarsA_apo,Test_804.pdb_idx_0005_combo_20250812_095047,0.9114173
sarsA_apo,Test_772.pdb_idx_0025_combo_20250812_095050,0.84685713
mersA_apo,Test_813.pdb_idx_0063_combo_20250812_095106,0.68381387
sarsA_apo,Test_836.pdb_idx_0029_combo_20250812_095049,0.9137255
mersA_apo,Test_843.pdb_idx_0114_combo_20250812_095100,0.4403609
sarsA_apo,Test_926.pdb_idx_0190_combo_20250812_095054,0.8217419
mersA_apo,Test_812.pdb_idx_0148_combo_20250812_095101,0.669268
sarsA_apo,Test_860.pdb_idx_0158_combo_20250812_095053,0.90931374
mersA_apo,Test_805.pdb_idx_0106_combo_20250812_095059,0.7058824
sarsA_apo,Test_888.pdb_idx_0022_combo_20250812_095049,0.7071188
mersA_apo,Test_907.pdb_idx_0155_combo_20250812_095111,0.9019608
sarsA_apo,Test_801.pdb_idx_0076_combo_20250812_095050,0.7680251
sarsA_apo,Test_930.pdb_idx_0040_combo_20250812_095049,0.8667118
mersA_apo,Test_873.pdb_idx_0164_combo_20250812_095111,0.74629325
mersA_apo,Test_831.pdb_idx_0072_combo_20250812_095107,0.7747669
mersA_apo,Test_911.pdb_idx_0103_combo_20250812_095059,0.680143
sarsA_apo,Test_850.pdb_idx_0016_combo_20250812_095049,0.8020833
sarsA_apo,Test_868.pdb_idx_0184_combo_20250812_095113,1.0
mersA_apo,Test_896.pdb_idx_0073_combo_20250812_095109,0.80122083
mersA_apo,Test_939.pdb_idx_0124_combo_20250812_095100,0.5651141
sarsA_apo,Test_947.pdb_idx_0033_combo_20250812_095048,0.17242219
sarsA_apo,Test_867.pdb_idx_0131_combo_20250812_095052,0.87393165
sarsA_apo,Test_883.pdb_idx_0104_combo_20250812_095051,0.8604027
sarsA_apo,Test_944.pdb_idx_0009_combo_20250812_095047,0.7046233
mersA_apo,Test_905.pdb_idx_0130_combo_20250812_095112,0.73722446
mersA_apo,Test_833.pdb_idx_0064_combo_20250812_095057,0.61560285
sarsA_apo,Test_821.pdb_idx_0156_combo_20250812_095053,0.71777904
sarsA_apo,Test_786.pdb_idx_0015_combo_20250812_095048,0.9118825
mersA_apo,Test_886.pdb_idx_0159_combo_20250812_095101,0.7972
sarsA_apo,Test_857.pdb_idx_0037_combo_20250812_095049,0.9188702
sarsA_apo,Test_892.pdb_idx_0091_combo_20250812_095052,0.93284106
mersA_apo,Test_838.pdb_idx_0042_combo_20250812_095056,0.6698171
sarsA_apo,Test_865.pdb_idx_0050_combo_20250812_095049,0.7971698
mersA_apo,Test_817.pdb_idx_0038_combo_20250812_095057,0.3793823
