prot,lig,score
4hwt_protein,4hwt,0.4069098
5uwf_protein,5uwf,0.17873989
4pzh_protein,4pzh,0.5832067
6cec_protein,6cec,0.9472826
2v2h_protein,2v2h,0.9009434
5q0f_protein,5q0f,0.9171623
3hau_protein,3hau,0.0019175456
6g93_protein,6g93,0.8597973
4dmy_protein,4dmy,0.68532205
3chs_protein,3chs,0.7367958
3bki_protein,3bki,1.0
3fuh_protein,3fuh,0.7213604
2zva_protein,2zva,0.73764044
2xf0_protein,2xf0,0.9553045
1n7j_protein,1n7j,0.9623016
3nf9_protein,3nf9,0.6140813
5kr2_protein,5kr2,0.5950444
4dce_protein,4dce,0.6038078
4ih5_protein,4ih5,0.2684859
5ak3_protein,5ak3,0.62740386
3el1_protein,3el1,0.5750309
1uys_protein,1uys,0.021857923
1lox_protein,1lox,0.0
3zov_protein,3zov,0.8537791
3vjm_protein,3vjm,0.7700382
1b4d_protein,1b4d,0.8671171
2nsj_protein,2nsj,0.9734904
1o33_protein,1o33,0.88729876
3wto_protein,3wto,0.75883836
4jof_protein,4jof,0.5446679
3va4_protein,3va4,0.0
4zec_protein,4zec,0.0
3e90_protein,3e90,0.18386243
1y8p_protein,1y8p,0.0
3d9p_protein,3d9p,0.49771574
1p5e_protein,1p5e,0.33859223
3p17_protein,3p17,0.8639113
4jda_protein,4jda,0.0
5trg_protein,5trg,0.5897573
5bot_protein,5bot,0.8259912
2cc7_protein,2cc7,1.0
2hw2_protein,2hw2,0.0
2w3o_protein,2w3o,0.2518769
5d1n_protein,5d1n,0.8960606
5e2k_protein,5e2k,0.8798077
1zsr_protein,1zsr,0.6467875
2wo9_protein,2wo9,0.8398844
4euv_protein,4euv,0.0
4yb6_protein,4yb6,0.0
1w1y_protein,1w1y,0.7021355
6aoy_protein,6aoy,0.05580357
3mv5_protein,3mv5,0.96132284
6ei4_protein,6ei4,0.0
5fol_protein,5fol,0.0
4jft_protein,4jft,1.0
4y29_protein,4y29,0.27975634
4fgz_protein,4fgz,0.0
6f2n_protein,6f2n,0.5347222
4mc1_protein,4mc1,0.834761
3qce_protein,3qce,0.9903315
1e34_protein,1e34,0.2204698
3a2o_protein,3a2o,0.7120098
5vm6_protein,5vm6,0.52644527
1qin_protein,1qin,0.0
3vtc_protein,3vtc,0.44798335
2b1p_protein,2b1p,0.1888596
5z7b_protein,5z7b,0.30148047
3l9h_protein,3l9h,0.79438025
4ikt_protein,4ikt,0.65161526
3eml_protein,3eml,0.885506
3blr_protein,3blr,0.7189696
5ult_protein,5ult,0.7016317
5a1f_protein,5a1f,0.9727941
5e3g_protein,5e3g,1.0
6dne_protein,6dne,0.23088235
4ps0_protein,4ps0,0.65431035
5c2a_protein,5c2a,0.2719547
5mwd_protein,5mwd,0.77916664
5qap_protein,5qap,0.452919
3udp_protein,3udp,0.7362276
1mdl_protein,1mdl,0.21321961
3opp_protein,3opp,0.7361751
3vc4_protein,3vc4,0.5197148
3dv5_protein,3dv5,0.05582524
4btl_protein,4btl,0.6528884
1pr5_protein,1pr5,0.9270335
1u9v_protein,1u9v,0.8168182
4yad_protein,4yad,0.56152344
4kzc_protein,4kzc,0.9633431
2oei_protein,2oei,0.121958636
