prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_095347,0.9786213
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_095253,0.7138672
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_095353,1.0
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_095218,0.88203883
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_095402,0.8785347
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_095246,0.8996328
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_095327,0.710177
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_095237,0.9530669
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_095324,0.7966728
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_095354,0.9012016
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_095221,0.94931036
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_095240,0.91290325
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_095238,0.16146298
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_095247,0.9670932
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_095227,0.8944954
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_095234,0.83135134
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_095339,0.9064103
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_095239,0.84130144
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_095300,0.37458333
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_095232,0.7300824
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_095352,0.875
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_095315,0.37458813
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_095233,0.6737968
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_095313,0.45796263
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_095241,0.9235537
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_095255,0.8475936
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_095247,0.91462666
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_095318,0.40318906
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_095314,0.5027881
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_095348,0.53196347
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_095320,1.0
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_095245,0.8985411
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_095244,0.87621653
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_095321,0.83409506
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_095238,0.9190734
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_095322,0.39956245
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_095225,0.9590164
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_095245,0.75630677
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_095303,0.7261504
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_095243,0.9648609
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_095328,0.49949798
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_095344,0.89813626
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_095335,0.91091955
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_095232,0.93791944
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_095246,0.8479853
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_095250,0.86287314
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_095220,0.99446493
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_095343,0.93415636
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_095219,0.9073939
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_095406,0.8853359
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_095400,1.0
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_095327,0.4681467
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_095328,0.9880952
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_095328,0.39445755
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_095250,0.7891349
sarsA_apo,Test_789.pdb_idx_0157_combo_20250812_095243,0.9137931
sarsA_apo,Test_956.pdb_idx_0046_combo_20250812_095300,0.95652175
mersA_apo,Test_953.pdb_idx_0100_combo_20250812_095312,0.5192678
mersA_apo,Test_802.pdb_idx_0176_combo_20250812_095330,0.3899491
sarsA_apo,Test_775.pdb_idx_0171_combo_20250812_095250,0.90753424
sarsA_apo,Test_950.pdb_idx_0101_combo_20250812_095233,0.9218213
sarsA_apo,Test_923.pdb_idx_0090_combo_20250812_095235,0.8255124
mersA_apo,Test_787.pdb_idx_0080_combo_20250812_095308,0.40873015
sarsA_apo,Test_847.pdb_idx_0154_combo_20250812_095241,0.9384817
