prot,lig,score
mersA_apo,Test_779.pdb_idx_0093_combo_20250812_095201,0.9426995
sarsA_apo,Test_792.pdb_idx_0194_combo_20250812_095134,0.6936019
sarsA_apo,Test_887.pdb_idx_0083_combo_20250812_095205,0.9464286
sarsA_apo,Test_940.pdb_idx_0014_combo_20250812_095116,0.88203883
mersA_apo,Test_814.pdb_idx_0116_combo_20250812_095146,0.4059534
sarsA_apo,Test_798.pdb_idx_0169_combo_20250812_095131,0.8996328
mersA_apo,Test_781.pdb_idx_0165_combo_20250812_095151,0.70814735
sarsA_apo,Test_849.pdb_idx_0134_combo_20250812_095126,0.9530669
mersA_apo,Test_783.pdb_idx_0178_combo_20250812_095210,0.8228972
mersA_apo,Test_933.pdb_idx_0044_combo_20250812_095144,0.40195248
sarsA_apo,Test_822.pdb_idx_0001_combo_20250812_095117,0.9375848
sarsA_apo,Test_797.pdb_idx_0098_combo_20250812_095127,0.91290325
sarsA_apo,Test_841.pdb_idx_0147_combo_20250812_095126,0.16320406
sarsA_apo,Test_788.pdb_idx_0185_combo_20250812_095131,0.9800363
sarsA_apo,Test_855.pdb_idx_0041_combo_20250812_095119,0.8953412
sarsA_apo,Test_952.pdb_idx_0068_combo_20250812_095124,0.8427864
mersA_apo,Test_807.pdb_idx_0020_combo_20250812_095158,0.9064103
sarsA_apo,Test_882.pdb_idx_0086_combo_20250812_095124,0.9454993
mersA_apo,Test_811.pdb_idx_0047_combo_20250812_095158,0.6576417
sarsA_apo,Test_942.pdb_idx_0094_combo_20250812_095123,0.7300824
sarsA_apo,Test_901.pdb_idx_0084_combo_20250812_095202,0.875
mersA_apo,Test_803.pdb_idx_0095_combo_20250812_095210,0.82354724
sarsA_apo,Test_941.pdb_idx_0074_combo_20250812_095125,0.6737968
mersA_apo,Test_869.pdb_idx_0079_combo_20250812_095204,0.79291475
sarsA_apo,Test_875.pdb_idx_0118_combo_20250812_095128,0.9235537
mersA_apo,Test_871.pdb_idx_0013_combo_20250812_095134,0.8475936
sarsA_apo,Test_795.pdb_idx_0146_combo_20250812_095132,0.804038
mersA_apo,Test_874.pdb_idx_0122_combo_20250812_095210,0.7113454
mersA_apo,Test_932.pdb_idx_0119_combo_20250812_095145,0.5027881
mersA_apo,Test_810.pdb_idx_0088_combo_20250812_095143,0.33779326
sarsA_apo,Test_872.pdb_idx_0140_combo_20250812_095208,0.86206895
sarsA_apo,Test_895.pdb_idx_0166_combo_20250812_095131,0.9057105
sarsA_apo,Test_863.pdb_idx_0121_combo_20250812_095129,0.87621653
mersA_apo,Test_948.pdb_idx_0163_combo_20250812_095148,0.83378625
sarsA_apo,Test_808.pdb_idx_0069_combo_20250812_095123,0.9190734
mersA_apo,Test_827.pdb_idx_0128_combo_20250812_095209,0.75840336
sarsA_apo,Test_806.pdb_idx_0039_combo_20250812_095118,0.9590164
sarsA_apo,Test_853.pdb_idx_0143_combo_20250812_095129,0.75630677
mersA_apo,Test_958.pdb_idx_0036_combo_20250812_095140,0.7323232
sarsA_apo,Test_912.pdb_idx_0151_combo_20250812_095128,0.9612006
mersA_apo,Test_870.pdb_idx_0183_combo_20250812_095151,0.49949798
mersA_apo,Test_854.pdb_idx_0078_combo_20250812_095201,0.8973856
mersA_apo,Test_796.pdb_idx_0018_combo_20250812_095156,0.91091955
sarsA_apo,Test_832.pdb_idx_0089_combo_20250812_095126,0.93791944
sarsA_apo,Test_782.pdb_idx_0177_combo_20250812_095132,0.8479853
sarsA_apo,Test_957.pdb_idx_0170_combo_20250812_095131,0.78128654
sarsA_apo,Test_945.pdb_idx_0026_combo_20250812_095116,0.99446493
mersA_apo,Test_773.pdb_idx_0077_combo_20250812_095139,0.503507
sarsA_apo,Test_785.pdb_idx_0010_combo_20250812_095116,0.9073939
mersA_apo,Test_837.pdb_idx_0145_combo_20250812_095148,0.63894683
sarsA_apo,Test_829.pdb_idx_0132_combo_20250812_095148,1.0
mersA_apo,Test_900.pdb_idx_0152_combo_20250812_095210,0.8726533
sarsA_apo,Test_780.pdb_idx_0181_combo_20250812_095151,1.0
mersA_apo,Test_856.pdb_idx_0142_combo_20250812_095210,0.81159824
sarsA_apo,Test_793.pdb_idx_0167_combo_20250812_095131,0.7891349
